total_revenue,transaction_count,total_quantity,avg_discount,unique_orders,month,avg_order_value
2271110.04,2922,6952,0.1,2922,2023-01,777.25
1341034.0,1901,4620,0.11,1901,2023-02,705.44
1170134.03,1538,3797,0.13,1538,2023-03,760.82
775020.61,1074,2552,0.14,1074,2023-04,721.62
642223.6,782,1892,0.13,782,2023-05,821.26
453328.88,548,1360,0.15,548,2023-06,827.24
295083.97,421,969,0.17,421,2023-07,700.91
206130.68,271,662,0.14,271,2023-08,760.63
153839.6,208,524,0.13,208,2023-09,739.61
122037.45,153,361,0.14,153,2023-10,797.63
56901.27,109,276,0.18,109,2023-11,522.03
42746.71,73,172,0.18,73,2023-12,585.57
