total_revenue,transaction_count,total_quantity,avg_discount,unique_orders,month,avg_order_value
23704496.55,29563,71955,0.1,29563,2023-01,801.83
15078384.64,19216,46432,0.12,19216,2023-02,784.68
11563949.04,15518,37329,0.13,15518,2023-03,745.2
8042846.95,10632,25502,0.14,10632,2023-04,756.48
5978733.95,7810,18745,0.13,7810,2023-05,765.52
3901365.14,5324,12746,0.15,5324,2023-06,732.79
2857686.82,4034,9708,0.17,4034,2023-07,708.4
2070165.25,2796,6619,0.14,2796,2023-08,740.4
1430707.4,2016,4845,0.13,2016,2023-09,709.68
1137283.59,1410,3517,0.14,1410,2023-10,806.58
648620.53,968,2270,0.18,968,2023-11,670.06
542221.9,713,1723,0.19,713,2023-12,760.48
