total_revenue,transaction_count,total_quantity,avg_discount,unique_orders,month,avg_order_value
207385.73,288,663,0.11,288,2023-01,720.09
148487.95,199,502,0.11,199,2023-02,746.17
162498.81,143,367,0.13,143,2023-03,1136.36
79507.69,107,248,0.14,107,2023-04,743.06
69917.82,80,187,0.12,80,2023-05,873.97
43815.11,50,120,0.15,50,2023-06,876.3
14638.17,37,83,0.15,37,2023-07,395.63
28013.84,33,87,0.14,33,2023-08,848.9
11521.77,20,39,0.13,20,2023-09,576.09
13818.61,18,44,0.13,18,2023-10,767.7
5216.54,18,36,0.19,18,2023-11,289.81
6684.23,7,16,0.2,7,2023-12,954.89
